Stock Price,Option Price,Delta,Hedging Error,PNL,PNL (with hedge)
100,4.39168,0.428711,0,0,0
101.96,5.24649,0.478687,-0.0182345,-0.854808,-0.0182345
104.082,6.28337,0.532638,-0.0256362,-1.89169,-0.0438708
106.34,7.51295,0.588804,-0.0315825,-3.12127,-0.0754532
107.839,8.38509,0.62487,0.00487497,-3.99341,-0.0705783
108.391,8.69573,0.637955,0.0281609,-4.30405,-0.0424174
110.409,9.99304,0.683962,-0.0153764,-5.60136,-0.0577938
112.991,11.7929,0.738191,-0.0409115,-7.40123,-0.0987053
114.266,12.7149,0.76327,0.0124887,-8.32321,-0.0862166
113.807,12.3308,0.755375,0.0263737,-7.93909,-0.0598428
111.887,10.8793,0.717578,-0.00646612,-6.48767,-0.066309
112.098,10.9943,0.722592,0.0297876,-6.60258,-0.0365214
115.785,13.7573,0.793787,-0.10619,-9.36563,-0.142711
114.972,13.0832,0.780267,0.0217278,-8.69151,-0.120983
116.082,13.9259,0.800751,0.015813,-9.5342,-0.10517
115.367,13.3226,0.789177,0.0228695,-8.93092,-0.0823009
114.083,12.288,0.766185,0.0135617,-7.89634,-0.0687393
112.437,11.0158,0.733698,0.00342267,-6.62409,-0.0653166
112.521,11.0393,0.736199,0.0307486,-6.64759,-0.034568
115.647,13.4034,0.798026,-0.0696508,-9.01168,-0.104219
117.235,14.6588,0.826049,0.00413993,-10.2671,-0.100079
122.683,19.3427,0.899672,-0.191675,-14.951,-0.291754
123.089,19.6819,0.905056,0.017129,-15.2902,-0.274625
124.255,20.7176,0.917512,0.00985477,-16.3259,-0.26477
123.753,20.2322,0.913941,0.015772,-15.8406,-0.248998
123.937,20.3744,0.916844,0.0165741,-15.9827,-0.232424
127.596,23.7637,0.94681,-0.0435007,-19.372,-0.275924
129.621,25.673,0.959544,-0.00214313,-21.2813,-0.278068
131.963,27.9156,0.970946,-0.00494448,-23.5239,-0.283012
132.456,28.3771,0.973544,0.00698667,-23.9855,-0.276025
130.819,26.7699,0.967828,0.00340381,-22.3782,-0.272622
133.258,29.1257,0.977676,-0.00502469,-24.734,-0.277646
134.137,29.9702,0.980935,0.00471369,-25.5785,-0.272933
133.898,29.7199,0.980905,0.00580916,-25.3283,-0.267123
131.853,27.7037,0.975115,0.000803527,-23.312,-0.26632
