Stock Price,Option Price,Delta,Hedging Error,PNL,PNL (with hedge)
100,4.39168,0.428711,0,0,0
99.3376,4.08031,0.410604,0.0235873,0.311369,0.0235873
99.2317,4.00386,0.406843,0.0293081,0.387818,0.0528954
99.2564,3.98068,0.40646,0.0296331,0.411,0.0825285
99.5883,4.0833,0.414146,0.0286692,0.308383,0.111198
100.188,4.30193,0.429003,0.0260167,0.0897539,0.137214
98.7974,3.69785,0.391163,0.00374557,0.693826,0.14096
98.39,3.5079,0.379243,0.0271424,0.883783,0.168102
96.236,2.72162,0.321806,-0.0339479,1.67006,0.134155
98.4119,3.45023,0.37742,-0.0311745,0.94145,0.10298
99.577,3.87361,0.407587,0.0130207,0.518071,0.116001
101.013,4.45074,0.445679,0.00449274,-0.059064,0.120493
99.7402,3.87065,0.409855,0.00886001,0.52103,0.129353
97.9955,3.164,0.361148,-0.0120934,1.22768,0.11726
97.5572,2.97573,0.347961,0.0267749,1.41595,0.144035
97.4104,2.89249,0.342584,0.0291085,1.49919,0.173143
99.3066,3.55599,0.393276,-0.0168913,0.83569,0.156252
100.385,3.95998,0.422365,0.0167369,0.431704,0.172989
100.738,4.07382,0.431302,0.0314756,0.317857,0.204465
101.542,4.39161,0.453217,0.0249363,7.31117e-05,0.229401
100.761,4.00886,0.429857,0.0245951,0.382816,0.253996
98.533,3.0873,0.364982,-0.03997,1.30438,0.214026
98.2907,2.96509,0.356681,0.0305665,1.42659,0.244593
98.8273,3.12501,0.370525,0.0283117,1.26667,0.272904
100.136,3.59717,0.407166,0.00944528,0.794512,0.282349
99.0261,3.12707,0.373413,0.014527,1.26461,0.296876
98.1786,2.78593,0.347352,0.0213207,1.60575,0.318197
97.7334,2.59968,0.332922,0.0285532,1.792,0.34675
95.2107,1.81899,0.261231,-0.0621027,2.57269,0.284648
93.0972,1.29859,0.205754,-0.0339709,3.09309,0.250677
92.4444,1.14503,0.188296,0.0174868,3.24665,0.268164
89.2122,0.630452,0.120087,-0.0956225,3.76123,0.172541
91.2106,0.886642,0.156755,-0.0171889,3.50504,0.155352
89.3927,0.617231,0.119171,-0.0168584,3.77445,0.138494
88.9305,0.547537,0.109006,0.0136206,3.84414,0.152114
87.7408,0.415445,0.0880153,0.00152269,3.97623,0.153637
88.9372,0.515606,0.104949,0.0044318,3.87607,0.158069
87.8824,0.399925,0.0861931,0.00412057,3.99175,0.162189
90.9878,0.727431,0.138564,-0.0605396,3.66425,0.10165
91.5712,0.78988,0.148343,0.0172222,3.6018,0.118872
92.6948,0.945868,0.170972,0.00943596,3.44581,0.128308
93.1548,1.00132,0.179378,0.0217247,3.39036,0.150033
92.8217,0.91809,0.168914,0.0219404,3.47359,0.171973
91.7237,0.724402,0.141736,0.00677288,3.66728,0.178746
92.5214,0.820482,0.156786,0.015774,3.5712,0.19452
92.8019,0.840768,0.160625,0.0223588,3.55091,0.216879
91.9941,0.69607,0.139772,0.0135699,3.69561,0.230448
90.9984,0.547625,0.116645,0.0080884,3.84406,0.238537
91.1436,0.544852,0.116879,0.0187337,3.84683,0.257271
90.0428,0.410698,0.0940142,0.00451366,3.98098,0.261784
88.787,0.291736,0.0718179,0.000133512,4.09994,0.261918
89.7739,0.35403,0.0845299,0.00799947,4.03765,0.269917
89.0479,0.282864,0.0709523,0.00911085,4.10882,0.279028
90.4215,0.377751,0.0902454,0.0020016,4.01393,0.28103
89.9891,0.324489,0.0804019,0.0134984,4.06719,0.294528
90.7295,0.371003,0.0902024,0.0123598,4.02068,0.306888
91.9623,0.475378,0.110712,0.00607416,3.9163,0.312962
92.7693,0.548332,0.124813,0.0154693,3.84335,0.328431
92.8039,0.52945,0.122357,0.0221337,3.86223,0.350565
91.9201,0.409484,0.100615,0.010785,3.9822,0.36135
92.5425,0.454055,0.110122,0.0172099,3.93763,0.37856
91.5713,0.338055,0.087698,0.00811937,4.05363,0.386679
92.6317,0.42008,0.10528,0.010252,3.9716,0.396931
93.185,0.458104,0.113781,0.0193413,3.93358,0.416272
91.9378,0.313712,0.0847789,0.00151235,4.07797,0.417785
92.1256,0.310678,0.0849095,0.0182539,4.081,0.436039
92.5071,0.32417,0.0887383,0.0182002,4.06751,0.454239
92.8096,0.330857,0.0911236,0.0194232,4.06082,0.473662
91.0171,0.18254,0.0565756,-0.0157818,4.20914,0.45788
