Stock Price,Option Price,Delta,Hedging Error,PNL,PNL (with hedge)
100,4.39168,0.428711,0,0,0
101.791,5.16567,0.474297,-0.0101306,-0.773994,-0.0101306
102.687,5.56508,0.496841,0.0212228,-1.1734,0.0110922
106.387,7.54047,0.589947,-0.141414,-3.14879,-0.130322
105.544,7.01475,0.568939,0.0231195,-2.62307,-0.107203
105.03,6.6881,0.555716,0.0287952,-2.29642,-0.0784074
103.067,5.61013,0.504473,-0.0179017,-1.21845,-0.0963091
101.22,4.68763,0.454713,-0.0140984,-0.295945,-0.110407
100.787,4.45794,0.442243,0.0287975,-0.06626,-0.08161
99.5936,3.91491,0.409111,0.0112635,0.476773,-0.0703465
98.4597,3.43505,0.377476,0.0123056,0.956629,-0.0580409
96.9175,2.85322,0.335193,-0.00367407,1.53846,-0.0617149
96.0747,2.54982,0.311757,0.0179722,1.84186,-0.0437428
96.7114,2.72234,0.326876,0.0232381,1.66934,-0.0205047
95.5392,2.3276,0.294834,0.00871651,2.06408,-0.0117882
94.7117,2.06411,0.272198,0.0169535,2.32757,0.00516537
92.8293,1.57007,0.224934,-0.0207204,2.82161,-0.015555
93.289,1.65012,0.233918,0.0214359,2.74156,0.00588089
92.8225,1.51859,0.22111,0.0204275,2.87309,0.0263083
93.766,1.71097,0.241737,0.0143549,2.68071,0.0406633
93.2453,1.56255,0.227322,0.0204669,2.82913,0.0611302
90.8655,1.06506,0.172167,-0.0454327,3.32662,0.0156975
91.157,1.09433,0.176343,0.0194681,3.29735,0.0351655
90.3047,0.931491,0.156836,0.0110657,3.46019,0.0462313
90.4619,0.936018,0.158016,0.0188093,3.45566,0.0650406
93.2568,1.43564,0.217853,-0.0592947,2.95604,0.00574591
90.888,0.962897,0.162702,-0.0451892,3.42878,-0.0394433
89.0801,0.683693,0.125753,-0.0163083,3.70799,-0.0557516
88.4987,0.597317,0.113687,0.0122104,3.79436,-0.0435412
90.9371,0.907506,0.157499,-0.0339152,3.48417,-0.0774564
89.8251,0.726095,0.133387,0.00493076,3.66559,-0.0725256
88.2817,0.526196,0.104249,-0.00709331,3.86548,-0.0796189
88.6242,0.546784,0.107913,0.0142494,3.8449,-0.0653696
90.0226,0.695915,0.130797,0.000869956,3.69577,-0.0644996
90.0526,0.680993,0.129208,0.017747,3.71069,-0.0467526
88.7918,0.516496,0.104598,0.000498278,3.87518,-0.0462543
89.3008,0.554885,0.111184,0.0139717,3.83679,-0.0322826
89.0292,0.508976,0.104383,0.0147807,3.8827,-0.0175019
89.6903,0.564093,0.113723,0.0130191,3.82759,-0.00448276
87.1671,0.317163,0.0722363,-0.0409747,4.07452,-0.0454575
83.9819,0.138705,0.0367356,-0.0522297,4.25298,-0.0976872
84.2363,0.141138,0.0374644,0.00661061,4.25054,-0.0910766
85.3714,0.180672,0.0462598,0.00268536,4.21101,-0.0883912
86.2378,0.214631,0.0536214,0.00573895,4.17705,-0.0826523
85.6374,0.175574,0.0456642,0.00641693,4.21611,-0.0762354
86.1942,0.193021,0.0496703,0.00759684,4.19866,-0.0686385
84.63,0.120329,0.0336729,-0.00540999,4.27135,-0.0740485
85.4181,0.141549,0.0388148,0.0050381,4.25013,-0.0690104
86.3298,0.171621,0.0458533,0.00499434,4.22006,-0.0640161
85.2551,0.120612,0.0343444,0.00135035,4.27107,-0.0626657
84.7969,0.0993033,0.029326,0.00528578,4.29238,-0.0573799
83.5596,0.0635323,0.020165,-0.000756795,4.32815,-0.0581367
83.2858,0.054015,0.0176517,0.00382868,4.33766,-0.054308
84.06,0.0643711,0.0206611,0.00316472,4.32731,-0.0511433
81.6639,0.0260951,0.00950477,-0.0114024,4.36558,-0.0625457
84.028,0.0545603,0.01817,-0.00607545,4.33712,-0.0686211
84.427,0.0574787,0.0191403,0.00417926,4.3342,-0.0644419
84.4945,0.0541405,0.0183124,0.00446925,4.33754,-0.0599726
85.032,0.0596814,0.0200666,0.00414865,4.332,-0.055824
84.568,0.0466487,0.016349,0.00355178,4.34503,-0.0522722
83.343,0.0270916,0.0102644,-0.000608162,4.36459,-0.0528804
85.828,0.0603637,0.0207565,-0.00785216,4.33132,-0.0607325
83.7213,0.0252967,0.00982638,-0.00883709,4.36638,-0.0695696
82.9705,0.0166822,0.00686718,0.00114988,4.375,-0.0684197
82.1929,0.0105429,0.0046088,0.000737989,4.38114,-0.0676817
82.6523,0.0112393,0.00492375,0.00137769,4.38044,-0.066304
84.7565,0.0239554,0.00971404,-0.00240139,4.36772,-0.0687054
