Stock Price,Option Price,Delta,Hedging Error,PNL,PNL (with hedge)
100,4.39168,0.428711,0,0,0
101.08,4.83513,0.455862,0.0157209,-0.443447,0.0157209
101.597,5.03928,0.468561,0.027595,-0.647599,0.0433159
99.3227,4.00768,0.408193,-0.0384127,0.384001,0.00490318
100.905,4.65125,0.448835,-0.00149505,-0.259567,0.00340813
101.2,4.74953,0.45581,0.0301265,-0.357852,0.0335346
101.695,4.94254,0.468161,0.0285,-0.550864,0.0620346
101.028,4.60079,0.449574,0.0253299,-0.209113,0.0873644
102.821,5.41286,0.49678,-0.0100336,-1.02118,0.0773309
100.676,4.37354,0.43834,-0.0306414,0.0181391,0.0466895
103.653,5.76023,0.517882,-0.0856864,-1.36855,-0.0389969
101.544,4.69125,0.460183,-0.0280312,-0.299572,-0.0670282
101.91,4.82465,0.469407,0.0310007,-0.432972,-0.0360274
102.324,4.98378,0.480024,0.0308788,-0.592096,-0.00514869
101.657,4.63254,0.460817,0.026656,-0.240862,0.0215073
102.07,4.7873,0.471478,0.0311299,-0.395623,0.0526373
102.32,4.86816,0.477704,0.032887,-0.476484,0.0855243
102.272,4.80719,0.475607,0.0338216,-0.415507,0.119346
103.122,5.18269,0.498847,0.0245089,-0.791015,0.143855
100.371,3.88038,0.419778,-0.0749046,0.511303,0.0689502
103.297,5.19112,0.502525,-0.0863706,-0.799445,-0.0174204
104.07,5.54838,0.523963,0.0270411,-1.1567,0.00962075
104.091,5.51848,0.524049,0.0355447,-1.1268,0.0451654
101.278,4.12005,0.441742,-0.0802967,0.271635,-0.0351313
100.993,3.95708,0.432345,0.0332216,0.434599,-0.00190973
101.998,4.36675,0.461023,0.0208432,0.0249266,0.0189335
103.621,5.1127,0.508267,-0.00202453,-0.721016,0.016909
107.639,7.34548,0.622684,-0.195349,-2.9538,-0.17844
105.519,6.0457,0.563015,-0.0259606,-1.65402,-0.204401
103.974,5.16871,0.517038,0.0017992,-0.777025,-0.202602
101.816,4.08239,0.450715,-0.0345309,0.309291,-0.237132
101.609,3.94901,0.443298,0.0358211,0.442667,-0.201311
100.696,3.51745,0.413924,0.0228864,0.874231,-0.178425
101.232,3.70295,0.429322,0.032464,0.688732,-0.145961
99.9331,3.13239,0.387474,0.00898278,1.25929,-0.136978
100.015,3.12471,0.388528,0.0358965,1.26697,-0.101082
100.717,3.36439,0.409226,0.0294967,1.02729,-0.071585
103.085,4.37901,0.483938,-0.0494694,0.0126683,-0.121054
104.216,4.90197,0.519498,0.0198008,-0.510295,-0.101254
104.304,4.90303,0.521794,0.0401411,-0.511347,-0.0611125
103.849,4.62341,0.5064,0.0369468,-0.23173,-0.0241657
104.796,5.07193,0.536754,0.0266982,-0.680251,0.00253257
105.395,5.35241,0.555853,0.0357517,-0.960725,0.0382843
103.634,4.37835,0.497125,-0.00998444,0.0133328,0.0282999
101.601,3.39293,0.427155,-0.0301155,0.998753,-0.00181562
100.404,2.8631,0.384955,0.0144612,1.52858,0.0126456
101.031,3.06733,0.40468,0.0338251,1.32435,0.0464707
103.698,4.22181,0.49613,-0.0790477,0.169874,-0.0325771
104.877,4.78211,0.536467,0.0200031,-0.390431,-0.012574
105.075,4.83946,0.542924,0.0435105,-0.447779,0.0309365
106.293,5.4764,0.584822,0.0191434,-1.08472,0.0500799
104.561,4.46572,0.523844,-0.00765794,-0.0740379,0.042422
103.828,4.04137,0.496591,0.0352378,0.35031,0.0776597
104.876,4.53086,0.534199,0.0263488,-0.139183,0.104009
102.784,3.4442,0.455802,-0.0357844,0.947475,0.0682242
101.537,2.8565,0.407385,0.0148143,1.53518,0.0830384
100.424,2.37977,0.363713,0.0194225,2.01191,0.102461
100.325,2.2975,0.357693,0.0429537,2.09418,0.145415
100.507,2.31609,0.362173,0.0433907,2.07559,0.188805
98.6707,1.67095,0.291536,-0.023431,2.72073,0.165374
97.4851,1.31085,0.247026,0.011812,3.08083,0.177186
99.7282,1.90702,0.324597,-0.044329,2.48466,0.132857
98.6297,1.52969,0.280452,0.0177608,2.86199,0.150618
100.07,1.92417,0.331923,0.0068979,2.46751,0.157516
99.6497,1.74074,0.312356,0.0408181,2.65094,0.198334
100.15,1.8526,0.328975,0.0415401,2.53908,0.239874
99.48,1.59354,0.298927,0.0355605,2.79814,0.275435
100.051,1.72075,0.318372,0.0406989,2.67093,0.316134
100.25,1.73366,0.323118,0.047339,2.65802,0.363473
98.7344,1.24504,0.258141,-0.00396198,3.14664,0.359511
98.8214,1.22122,0.257263,0.0439213,3.17046,0.403432
100.596,1.68803,0.327145,-0.0125672,2.70365,0.390865
97.5893,0.850847,0.201506,-0.149598,3.54083,0.241267
99.9205,1.37258,0.289443,-0.0538138,3.0191,0.187453
99.3649,1.16806,0.260954,0.0409965,3.22362,0.22845
98.1918,0.845507,0.208279,0.013995,3.54617,0.242445
98.3413,0.831462,0.208511,0.0432562,3.56022,0.285701
95.9349,0.401957,0.12053,-0.0741884,3.98972,0.211513
